codigo_ibge,municipio,populacao,ano_populacao,ano_pib,pib_percapita,taxa_urbanizacao,taxa_cvli,taxa_tentativa_homicidio,taxa_lesao_dolosa,taxa_roubo_outros,taxa_roubo_veiculo,taxa_roubo_carga,taxa_furto_outros,taxa_furto_veiculo,taxa_estupro_total,taxa_trafico,total_ocorrencias_janela,n_ocorrencias,prop_via_publica,prop_noturno,cobertura_periodo,taxa_recuperacao_veiculo,prop_veiculo_motocicleta,prop_celular_em_furto_roubo,iegm_conceito,i_planejamento_conceito,i_fiscal_conceito,i_educ_conceito,i_saude_conceito,i_amb_conceito,i_cidade_conceito,i_gov_ti_conceito,iegm_ord,i_planejamento_ord,i_fiscal_ord,i_educ_ord,i_saude_ord,i_amb_ord,i_cidade_ord,i_gov_ti_ord,iegm_exercicio_ref,iegm_ano_apuracao,flag_sem_iegm,flag_pop_pequena,flag_capital,janela_anos,exposicao_anos,ano_populacao_ref
3500105,Adamantina,35642,2024,2023,47861.932551484206,96.68175397122842,4.676131156126667,3.7409049249013338,448.90859098816003,9.352262312253334,0.0,0.0,564.8766436601013,18.704524624506668,25.251108243084,93.52262312253335,1250,1881,0.4359383306751728,0.5221238938053098,0.12014885699096226,2.7,1.0,0.06379585326953748,B,C,B,B,B,B+,C,A,2.3333,1.0,3.0,2.6667,2.6667,2.6667,1.0,4.3333,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3500204,Adolfo,4478,2024,2023,48075.703439035286,92.04780510227532,7.4437993151704624,7.4437993151704624,714.6047342563644,7.4437993151704624,0.0,0.0,513.622152746762,81.8817924668751,74.43799315170463,126.54458835789787,206,230,0.2826086956521739,0.5666666666666667,0.2608695652173913,0.2727272727272727,0.18181818181818182,0.06956521739130435,C+,C+,B,C,B,C,C,C,1.6667,1.6667,2.6667,1.3333,3.0,1.0,1.0,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3500303,Aguaí,32888,2024,2023,53935.87326684505,93.21214766774756,10.135409065109869,13.176031784642829,388.18616719370794,41.55517716695046,33.44684991486256,2.0270818130219737,1119.9627016946404,35.47393172788453,41.55517716695046,117.57074515527447,1779,2071,0.4505070014485756,0.7277227722772277,0.0975374215354901,0.6902654867256637,0.17699115044247787,0.08788025108643167,C+,C,B,B,C+,C,B+,C,2.0,1.0,2.6667,3.0,2.6667,1.0,3.6667,1.3333,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3500402,Águas da Prata,7470,2024,2023,36460.37483266399,87.6509702809065,4.462293618920125,4.462293618920125,406.0687193217314,22.311468094600624,31.236055332440873,0.0,432.8424810352521,58.009817045961626,35.698348951361,80.32128514056225,241,330,0.49393939393939396,0.6842105263157895,0.11515151515151516,0.9,0.3,0.0696969696969697,C,C,C+,C,C+,C+,C,C,1.0,1.0,2.0,1.0,1.6667,2.3333,1.6667,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3500501,Águas de Lindóia,18245,2024,2023,43908.74212112908,87.15560513106524,1.8269845619804512,10.961907371882708,396.4556499497579,36.53969123960903,7.307938247921805,0.0,367.22389695807067,93.176212661003,40.19366036356993,138.8508267105143,598,713,0.4908835904628331,0.4166666666666667,0.4375876577840112,0.8333333333333334,0.46296296296296297,0.08695652173913043,B,C,B,B,B+,B,A,A,2.6667,1.3333,3.0,2.6667,3.3333,2.0,3.6667,4.6667,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3500550,Águas de Santa Bárbara,7407,2024,2023,50703.65870122857,87.98941061724955,9.000495027226497,4.500247513613249,387.02128617073936,9.000495027226497,0.0,4.500247513613249,796.5438099095451,54.00297016335898,112.50618784033122,49.50272264974574,317,382,0.3717277486910995,0.33613445378151263,0.31151832460732987,2.0,0.375,0.07068062827225131,C,C+,B,C,C,C,C,C,1.0,1.6667,2.0,1.0,1.0,1.0,1.0,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3500600,Águas de São Pedro,2829,2024,2023,65531.99010250972,100.0,0.0,0.0,388.8299752562743,0.0,0.0,0.0,942.6181218333923,94.26181218333922,23.565453045834804,23.565453045834804,125,140,0.32857142857142857,0.4482758620689655,0.4142857142857143,1.1666666666666667,0.3333333333333333,0.09285714285714286,C+,C,C+,B,B+,C+,C,C+,2.0,1.0,2.6667,3.0,3.3333,1.6667,1.0,1.6667,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3500709,Agudos,38879,2024,2023,87857.42946063427,95.68471337579618,6.001526102351741,6.001526102351741,395.24336188345035,36.86651748587498,4.286804358822672,2.572082615293603,768.1953411010229,61.72998276704648,38.58123922940405,146.60870907173538,1710,1995,0.4030075187969925,0.6223958333333334,0.1924812030075188,1.9384615384615385,0.5538461538461539,0.09674185463659148,C,C,C,C,C,C+,C,B+,1.0,1.0,1.0,1.0,1.3333,2.3333,1.6667,3.6667,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3500758,Alambari,6330,2024,2023,25316.271721958925,74.22243934212669,10.531858873091101,15.79778830963665,284.3601895734597,36.86150605581886,5.265929436545551,5.265929436545551,663.5071090047394,68.45708267509215,31.5955766192733,26.32964718272775,218,254,0.30708661417322836,0.5822784810126582,0.3110236220472441,0.8333333333333334,0.125,0.10236220472440945,C,C,C+,C+,B,C,C,C,1.0,1.0,2.3333,1.6667,2.3333,1.0,1.0,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3500808,Alfredo Marcondes,4556,2024,2023,34709.61369622476,84.16197975253094,7.316359379572725,0.0,599.9414691249634,0.0,0.0,0.0,746.2686567164179,29.2654375182909,58.5308750365818,80.47995317529997,208,243,0.18518518518518517,0.8289473684210527,0.31275720164609055,0.5,0.5,0.06584362139917696,C,C,C+,C,B,C+,C,C,1.0,1.0,2.6667,1.0,3.3333,1.6667,1.6667,1.6667,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
