coluna,bloco,tipo,papel,descricao
codigo_ibge,identificacao,str,chave,Código IBGE de 7 dígitos
municipio,identificacao,str,rotulo,Nome oficial IBGE
populacao,identificacao,int,contexto,População residente (denominador)
ano_populacao,identificacao,int,metadado,Ano da estimativa populacional
taxa_cvli,criminalidade,float,feature,Crimes violentos letais intencionais (homicídio doloso + latrocínio + lesão seguida de morte) -- por 100 mil hab./ano
taxa_tentativa_homicidio,criminalidade,float,feature,Tentativa de homicídio -- por 100 mil hab./ano
taxa_lesao_dolosa,criminalidade,float,feature,Lesão corporal dolosa -- por 100 mil hab./ano
taxa_roubo_outros,criminalidade,float,feature,Roubo (exceto veículo e carga) -- por 100 mil hab./ano
taxa_roubo_veiculo,criminalidade,float,feature,Roubo de veículo -- por 100 mil hab./ano
taxa_roubo_carga,criminalidade,float,feature_tier2,Roubo de carga -- por 100 mil hab./ano
taxa_furto_outros,criminalidade,float,feature,Furto (exceto veículo e carga) -- por 100 mil hab./ano
taxa_furto_veiculo,criminalidade,float,feature,Furto de veículo -- por 100 mil hab./ano
taxa_estupro_total,criminalidade,float,feature,Estupro + estupro de vulnerável -- por 100 mil hab./ano
taxa_trafico,criminalidade,float,feature,Tráfico de entorpecentes (mede também intensidade de policiamento) -- por 100 mil hab./ano
prop_via_publica,textura,float,validacao_externa,Proporção de ocorrências em via pública (sugerida como validação externa)
prop_noturno,textura,float,feature_tier2,Proporção de ocorrências noturnas entre as de período conhecido
cobertura_periodo,textura,float,qualidade,Fração de ocorrências com DESC_PERIODO preenchido (~42% em 2026)
taxa_recuperacao_veiculo,textura,float,feature_tier2,Veículos localizados / veículos subtraídos -- efetividade institucional
prop_veiculo_motocicleta,textura,float,feature_tier2,Participação de motos entre os veículos subtraídos
prop_celular_em_furto_roubo,textura,float,feature_tier2,Ocorrências com celular subtraído / total de ocorrências
pib_percapita,socioeconomico,float,feature,PIB per capita em R$ (recalculado com a população de referência)
taxa_urbanizacao,socioeconomico,float,feature,% da população em domicílio urbano (Censo 2022)
ano_pib,socioeconomico,int,metadado,Ano de referência do PIB
iegm_ord,gestao,ordinal_1_5,feature,IEGM iegm: conceito convertido em ordinal (C=1 ... A=5)
iegm_conceito,gestao,str,rotulo,IEGM iegm: conceito original em letra
i_planejamento_ord,gestao,ordinal_1_5,feature,IEGM i_planejamento: conceito convertido em ordinal (C=1 ... A=5)
i_planejamento_conceito,gestao,str,rotulo,IEGM i_planejamento: conceito original em letra
i_fiscal_ord,gestao,ordinal_1_5,feature,IEGM i_fiscal: conceito convertido em ordinal (C=1 ... A=5)
i_fiscal_conceito,gestao,str,rotulo,IEGM i_fiscal: conceito original em letra
i_educ_ord,gestao,ordinal_1_5,feature,IEGM i_educ: conceito convertido em ordinal (C=1 ... A=5)
i_educ_conceito,gestao,str,rotulo,IEGM i_educ: conceito original em letra
i_saude_ord,gestao,ordinal_1_5,feature,IEGM i_saude: conceito convertido em ordinal (C=1 ... A=5)
i_saude_conceito,gestao,str,rotulo,IEGM i_saude: conceito original em letra
i_amb_ord,gestao,ordinal_1_5,feature,IEGM i_amb: conceito convertido em ordinal (C=1 ... A=5)
i_amb_conceito,gestao,str,rotulo,IEGM i_amb: conceito original em letra
i_cidade_ord,gestao,ordinal_1_5,feature,IEGM i_cidade: conceito convertido em ordinal (C=1 ... A=5)
i_cidade_conceito,gestao,str,rotulo,IEGM i_cidade: conceito original em letra
i_gov_ti_ord,gestao,ordinal_1_5,feature,IEGM i_gov_ti: conceito convertido em ordinal (C=1 ... A=5)
i_gov_ti_conceito,gestao,str,rotulo,IEGM i_gov_ti: conceito original em letra
iegm_exercicio_ref,gestao,int,metadado,Exercício avaliado pelo IEGM
iegm_ano_apuracao,gestao,int,metadado,Ano de apuração do IEGM
total_ocorrencias_janela,qualidade,int,qualidade,Soma bruta das ocorrências do Bloco B -- detecta subnotificação
n_ocorrencias,qualidade,int,qualidade,Total de ocorrências de qualquer natureza no município/janela
flag_sem_iegm,qualidade,bool,flag,Sem nota IEGM (apenas a capital: fiscalizada pelo TCM-SP)
flag_pop_pequena,qualidade,bool,flag,População < 5000 -- sujeito ao problema dos números pequenos
flag_capital,qualidade,bool,flag,É o município de São Paulo
janela_anos,qualidade,str,metadado,Janela temporal da SSP
exposicao_anos,qualidade,float,metadado,"Anos-equivalentes de exposição (meses observados / 12, somados)"
ano_populacao_ref,qualidade,int,metadado,Ano da população usada como denominador
