codigo_ibge,ano,veic_furtado,veic_roubado,veic_localizado,veic_subtraido,veic_moto,cel_furto,cel_roubo
3500105,2023,2,0,10,2,2,50,1
3500105,2024,5,0,7,5,5,34,0
3500105,2025,3,0,10,3,3,32,3
3500204,2023,2,0,1,2,1,5,0
3500204,2024,9,0,2,9,1,6,0
3500204,2025,0,0,0,0,0,5,0
3500303,2023,10,16,27,26,10,28,25
3500303,2024,15,42,24,57,4,30,32
3500303,2025,10,20,27,30,6,35,32
3500402,2023,3,2,2,5,1,3,0
3500402,2024,3,3,8,6,2,4,7
3500402,2025,6,3,8,9,3,7,2
3500501,2023,12,1,13,13,6,14,12
3500501,2024,23,3,23,26,8,26,1
3500501,2025,15,0,9,15,11,7,2
3500550,2023,3,0,4,3,1,9,0
3500550,2024,2,0,10,2,1,6,0
3500550,2025,3,0,2,3,1,12,0
3500600,2023,4,0,2,4,1,2,0
3500600,2024,0,0,2,0,0,3,0
3500600,2025,2,0,3,2,1,8,0
3500709,2023,19,2,48,21,12,44,28
3500709,2024,30,0,51,30,16,39,17
3500709,2025,14,0,27,14,8,59,6
3500758,2023,6,0,18,6,0,5,5
3500758,2024,8,3,2,11,1,6,4
3500758,2025,3,4,0,7,2,3,3
3500808,2023,2,0,0,2,1,4,0
3500808,2024,1,0,2,1,0,11,0
3500808,2025,1,0,0,1,1,1,0
3500907,2023,0,0,2,0,0,3,0
3500907,2024,1,0,1,1,0,0,0
3500907,2025,0,0,0,0,0,2,0
3501004,2023,10,14,39,24,9,17,32
3501004,2024,2,5,22,7,0,14,5
3501004,2025,4,4,14,8,4,7,3
3501103,2023,0,0,2,0,0,1,2
3501103,2024,1,0,0,1,1,0,0
3501103,2025,2,0,12,2,2,3,2
3501152,2023,17,13,37,30,5,23,20
3501152,2024,19,4,29,23,8,22,6
3501152,2025,27,0,24,27,19,24,7
3501202,2023,0,0,9,0,0,3,0
3501202,2024,2,0,5,2,2,5,0
3501202,2025,3,0,1,3,1,10,0
3501301,2023,5,0,15,5,4,25,0
3501301,2024,3,0,20,3,2,31,1
3501301,2025,5,0,16,5,2,36,1
3501400,2023,0,0,0,0,0,5,1
3501400,2024,1,0,3,1,0,2,0
3501400,2025,1,0,0,1,0,4,0
3501509,2023,0,0,8,0,0,1,0
3501509,2024,0,1,0,1,0,1,2
3501509,2025,0,0,4,0,0,3,0
3501608,2023,892,155,717,1047,122,788,272
3501608,2024,723,172,709,895,144,558,238
3501608,2025,535,86,420,621,85,409,188
3501707,2023,8,2,28,10,4,52,13
3501707,2024,22,6,28,28,3,26,16
3501707,2025,18,3,40,21,11,57,33
3501806,2023,6,0,1,6,3,0,0
3501806,2024,3,0,2,3,1,3,0
3501806,2025,2,0,0,2,1,2,0
3501905,2023,36,14,57,50,12,73,46
3501905,2024,33,9,49,42,6,281,41
3501905,2025,24,9,60,33,15,74,29
3502002,2023,1,3,7,4,2,7,3
3502002,2024,2,0,29,2,0,9,3
3502002,2025,1,2,21,3,1,2,0
3502101,2023,20,0,62,20,10,112,20
3502101,2024,22,0,70,22,13,95,15
3502101,2025,23,1,68,24,18,88,10
3502200,2023,15,0,19,15,12,22,0
3502200,2024,4,1,16,5,4,13,5
3502200,2025,8,4,18,12,1,19,5
3502309,2023,4,12,9,16,0,1,0
3502309,2024,1,2,17,3,0,8,0
3502309,2025,0,23,5,23,0,1,10
3502408,2023,3,0,1,3,2,0,0
3502408,2024,0,0,0,0,0,7,0
3502408,2025,0,0,8,0,0,1,0
3502507,2023,13,9,77,22,16,123,72
3502507,2024,28,14,46,42,32,118,87
3502507,2025,32,12,97,44,38,141,83
3502606,2023,0,0,0,0,0,4,0
3502606,2024,2,0,0,2,1,6,0
3502606,2025,0,0,2,0,0,6,0
3502705,2023,7,0,11,7,4,38,1
3502705,2024,12,2,10,14,9,24,3
3502705,2025,14,0,13,14,12,42,0
3502754,2023,12,87,166,99,10,30,80
3502754,2024,8,59,177,67,2,34,83
3502754,2025,12,64,172,76,6,36,83
3502804,2023,116,28,399,144,91,524,106
3502804,2024,91,8,263,99,66,421,120
3502804,2025,64,4,261,68,48,412,61
3502903,2023,26,27,62,53,5,61,38
3502903,2024,25,3,79,28,11,44,23
3502903,2025,29,5,49,34,10,34,4
3503000,2023,1,0,7,1,0,14,19
3503000,2024,0,0,8,0,0,10,6
3503000,2025,3,1,2,4,1,8,0
3503109,2023,0,0,2,0,0,3,0
3503109,2024,1,0,2,1,0,3,0
3503109,2025,2,0,3,2,0,0,1
3503158,2025,2,0,4,2,0,3,0
3503208,2023,256,35,352,291,109,491,165
3503208,2024,304,56,333,360,118,475,143
3503208,2025,182,25,273,207,74,471,143
3503307,2023,273,222,428,495,194,231,195
3503307,2024,165,153,430,318,131,187,168
3503307,2025,192,139,465,331,113,190,110
3503356,2023,0,0,0,0,0,4,0
3503356,2024,0,0,3,0,0,3,0
3503356,2025,1,0,0,1,1,1,0
3503406,2023,5,9,10,14,4,4,6
3503406,2024,6,5,4,11,6,3,0
3503406,2025,1,0,1,1,1,4,0
3503505,2023,0,0,0,0,0,1,0
3503505,2024,0,0,2,0,0,1,2
3503505,2025,0,1,2,1,0,7,1
3503604,2023,0,0,0,0,0,6,1
3503604,2024,2,1,14,3,3,11,6
3503604,2025,0,1,3,1,0,9,2
3503703,2023,0,0,5,0,0,4,0
3503703,2024,6,3,13,9,4,6,0
3503703,2025,10,0,2,10,1,9,0
3503802,2023,88,24,154,112,46,148,79
3503802,2024,90,26,81,116,35,93,38
3503802,2025,46,21,74,67,29,85,31
3503901,2023,125,229,501,354,89,116,433
3503901,2024,121,166,433,287,123,124,408
3503901,2025,100,173,514,273,124,111,269
3503950,2024,0,0,0,0,0,1,0
3504008,2023,70,11,452,81,42,230,64
3504008,2024,66,6,201,72,40,225,63
3504008,2025,32,3,158,35,24,180,30
3504107,2023,77,141,343,218,46,274,325
3504107,2024,62,101,605,163,45,224,200
3504107,2025,53,85,334,138,30,202,219
3504206,2023,1,1,5,2,1,20,3
3504206,2024,3,0,11,3,3,9,4
3504206,2025,2,0,4,2,2,24,3
3504305,2023,4,0,13,4,0,5,4
3504305,2024,0,0,3,0,0,6,0
3504305,2025,2,9,2,11,11,12,3
3504404,2023,3,0,19,3,2,11,2
3504404,2024,4,0,7,4,2,28,0
3504404,2025,6,0,6,6,2,6,1
3504503,2023,25,2,88,27,14,177,11
3504503,2024,34,4,95,38,18,202,12
3504503,2025,12,1,56,13,6,100,12
3504602,2023,12,6,27,18,5,22,5
3504602,2024,11,0,31,11,5,18,2
3504602,2025,13,5,26,18,8,16,3
3504701,2023,1,0,0,1,0,1,0
3504701,2024,0,0,2,0,0,0,0
3504800,2023,3,0,10,3,1,17,8
3504800,2024,4,0,18,4,0,28,5
3504800,2025,3,6,6,9,1,19,5
3504909,2023,0,0,0,0,0,3,1
3504909,2024,3,0,2,3,1,10,9
3504909,2025,2,1,2,3,2,3,0
3505005,2023,0,0,0,0,0,2,0
3505005,2024,4,0,3,4,1,0,0
3505104,2023,2,0,16,2,1,10,0
3505104,2024,3,0,3,3,1,17,0
3505104,2025,0,0,4,0,0,8,5
3505203,2023,24,0,44,24,6,80,9
3505203,2024,13,0,26,13,4,36,3
3505203,2025,12,3,25,15,5,44,5
3505302,2023,26,1,34,27,6,86,13
3505302,2024,15,2,39,17,12,55,14
3505302,2025,18,0,31,18,14,78,9
3505351,2023,2,0,1,2,0,1,0
3505351,2024,1,0,0,1,1,2,0
3505351,2025,0,1,0,1,0,5,0
3505401,2023,2,5,25,7,0,4,27
3505401,2024,1,6,16,7,0,5,6
3505401,2025,2,17,16,19,0,10,12
3505500,2023,66,19,336,85,36,759,97
3505500,2024,70,38,335,108,27,502,134
3505500,2025,86,10,192,96,40,351,60
3505609,2023,12,6,16,18,9,32,36
3505609,2024,15,8,13,23,7,26,11
3505609,2025,20,1,17,21,6,35,19
3505708,2023,415,208,1033,623,331,806,1152
3505708,2024,465,205,1049,670,323,809,648
3505708,2025,428,223,862,651,345,829,551
3505807,2023,5,2,10,7,4,20,0
3505807,2024,5,0,10,5,3,31,0
3505807,2025,7,1,10,8,0,11,0
3505906,2023,57,18,102,75,31,84,42
3505906,2024,56,9,84,65,17,84,25
3505906,2025,16,8,74,24,8,60,47
3506003,2023,198,41,1082,239,119,1039,429
3506003,2024,240,70,981,310,189,856,316
3506003,2025,241,22,979,263,130,828,183
3506102,2023,30,26,253,56,21,166,105
3506102,2024,47,7,223,54,25,116,49
3506102,2025,34,16,128,50,16,87,44
3506201,2023,0,0,1,0,0,4,0
3506201,2024,0,0,2,0,0,2,0
3506201,2025,0,0,0,0,0,3,0
3506300,2023,0,0,2,0,0,18,2
3506300,2024,1,2,1,3,1,15,0
3506300,2025,3,0,7,3,0,14,0
3506359,2023,74,40,132,114,54,320,397
3506359,2024,97,44,166,141,83,226,267
3506359,2025,76,19,215,95,55,186,224
3506409,2023,0,1,4,1,0,28,0
3506409,2024,3,1,4,4,3,0,1
3506409,2025,5,0,4,5,3,3,0
3506508,2023,59,14,256,73,54,211,94
3506508,2024,60,4,226,64,49,306,93
3506508,2025,59,7,288,66,43,233,44
3506607,2023,19,8,25,27,14,35,9
3506607,2024,5,14,32,19,4,41,31
3506607,2025,10,14,13,24,4,57,19
3506706,2023,5,5,27,10,2,14,17
3506706,2024,1,1,7,2,0,19,1
3506706,2025,5,2,8,7,2,14,3
3506805,2023,3,0,20,3,3,8,2
3506805,2024,1,0,16,1,1,8,4
3506805,2025,0,0,4,0,0,10,0
3506904,2023,1,0,6,1,1,9,1
3506904,2024,4,0,3,4,2,10,2
