codigo_ibge,ano,mes,natureza,ocorrencias
3500105,2022,1,FURTO - OUTROS,22
3500105,2022,1,FURTO DE VEICULO,1
3500105,2022,1,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,4
3500105,2022,1,LESAO CORPORAL DOLOSA,8
3500105,2022,1,TRAFICO DE ENTORPECENTES,5
3500105,2022,2,FURTO - OUTROS,13
3500105,2022,2,FURTO DE VEICULO,1
3500105,2022,2,LESAO CORPORAL CULPOSA OUTRAS,1
3500105,2022,2,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,11
3500105,2022,2,LESAO CORPORAL DOLOSA,10
3500105,2022,2,ROUBO DE VEICULO,1
3500105,2022,2,TRAFICO DE ENTORPECENTES,6
3500105,2022,3,FURTO - OUTROS,17
3500105,2022,3,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,16
3500105,2022,3,LESAO CORPORAL DOLOSA,9
3500105,2022,3,TRAFICO DE ENTORPECENTES,6
3500105,2022,4,FURTO - OUTROS,21
3500105,2022,4,HOMICIDIO CULPOSO POR ACIDENTE DE TRANSITO,1
3500105,2022,4,LESAO CORPORAL CULPOSA OUTRAS,1
3500105,2022,4,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,17
3500105,2022,4,LESAO CORPORAL DOLOSA,13
3500105,2022,4,ROUBO - OUTROS,2
3500105,2022,4,TRAFICO DE ENTORPECENTES,1
3500105,2022,5,FURTO - OUTROS,27
3500105,2022,5,LESAO CORPORAL CULPOSA OUTRAS,2
3500105,2022,5,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,11
3500105,2022,5,LESAO CORPORAL DOLOSA,8
3500105,2022,5,ROUBO - OUTROS,1
3500105,2022,5,TRAFICO DE ENTORPECENTES,3
3500105,2022,6,FURTO - OUTROS,25
3500105,2022,6,FURTO DE VEICULO,1
3500105,2022,6,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,10
3500105,2022,6,LESAO CORPORAL DOLOSA,7
3500105,2022,6,TRAFICO DE ENTORPECENTES,2
3500105,2022,7,ESTUPRO DE VULNERAVEL,1
3500105,2022,7,FURTO - OUTROS,13
3500105,2022,7,LESAO CORPORAL CULPOSA OUTRAS,1
3500105,2022,7,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,20
3500105,2022,7,LESAO CORPORAL DOLOSA,8
3500105,2022,7,ROUBO - OUTROS,1
3500105,2022,7,TRAFICO DE ENTORPECENTES,3
3500105,2022,8,FURTO - OUTROS,15
3500105,2022,8,LESAO CORPORAL CULPOSA OUTRAS,2
3500105,2022,8,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,8
3500105,2022,8,LESAO CORPORAL DOLOSA,10
3500105,2022,8,TRAFICO DE ENTORPECENTES,2
3500105,2022,9,ESTUPRO DE VULNERAVEL,2
3500105,2022,9,FURTO - OUTROS,21
3500105,2022,9,HOMICIDIO CULPOSO POR ACIDENTE DE TRANSITO,2
3500105,2022,9,HOMICIDIO DOLOSO,1
3500105,2022,9,LESAO CORPORAL CULPOSA OUTRAS,2
3500105,2022,9,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,11
3500105,2022,9,LESAO CORPORAL DOLOSA,13
3500105,2022,9,TRAFICO DE ENTORPECENTES,1
3500105,2022,10,ESTUPRO DE VULNERAVEL,1
3500105,2022,10,FURTO - OUTROS,21
3500105,2022,10,LESAO CORPORAL CULPOSA OUTRAS,2
3500105,2022,10,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,7
3500105,2022,10,LESAO CORPORAL DOLOSA,12
3500105,2022,10,ROUBO - OUTROS,1
3500105,2022,10,TENTATIVA DE HOMICIDIO,1
3500105,2022,10,TRAFICO DE ENTORPECENTES,1
3500105,2022,11,FURTO - OUTROS,11
3500105,2022,11,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,14
3500105,2022,11,LESAO CORPORAL DOLOSA,19
3500105,2022,11,ROUBO - OUTROS,1
3500105,2022,12,FURTO - OUTROS,13
3500105,2022,12,LESAO CORPORAL CULPOSA OUTRAS,3
3500105,2022,12,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,21
3500105,2022,12,LESAO CORPORAL DOLOSA,20
3500105,2022,12,TENTATIVA DE HOMICIDIO,1
3500105,2022,12,TRAFICO DE ENTORPECENTES,3
3500105,2023,1,ESTUPRO,1
3500105,2023,1,FURTO - OUTROS,25
3500105,2023,1,LESAO CORPORAL CULPOSA POR ACIDENTE DE TRANSITO,4
3500105,2023,1,LESAO CORPORAL DOLOSA,14
3500105,2023,1,PORTE DE ENTORPECENTES,3
3500105,2023,1,TRAFICO DE ENTORPECENTES,2
