codigo_ibge,ano,n_ocorrencias,n_via_publica,n_periodo_conhecido,n_noturno
3500105,2026,353,188,59,25
3500204,2026,31,7,11,4
3500303,2026,351,199,73,30
3500402,2026,73,47,20,11
3500501,2026,121,74,50,20
3500550,2026,82,26,34,14
3500600,2026,28,12,5,0
3500709,2026,384,203,114,60
3500758,2026,39,17,15,7
3500808,2026,34,12,12,5
3500907,2026,36,15,17,9
3501004,2026,150,63,42,22
3501103,2026,15,4,3,0
3501152,2026,129,52,36,15
3501202,2026,37,12,12,5
3501301,2026,227,78,98,41
3501400,2026,39,7,10,4
3501509,2026,14,5,5,2
3501608,2026,3039,1996,871,446
3501707,2026,263,132,97,53
3501806,2026,37,17,10,5
3501905,2026,559,283,163,77
3502002,2026,53,16,11,6
3502101,2026,783,364,215,110
3502200,2026,210,70,90,54
3502309,2026,63,29,19,10
3502408,2026,37,10,10,3
3502507,2026,568,391,178,56
3502606,2026,39,14,9,6
3502705,2026,211,95,90,50
3502754,2026,290,129,108,63
3502804,2026,2715,1535,722,356
3502903,2026,312,149,107,50
3503000,2026,73,33,24,14
3503109,2026,36,12,20,6
3503158,2026,23,14,8,6
3503208,2026,3241,2009,1046,506
3503307,2026,1610,1086,445,212
3503356,2026,15,6,4,2
3503406,2026,89,33,25,14
3503505,2026,34,20,16,9
3503604,2026,62,23,18,13
3503703,2026,64,26,27,13
3503802,2026,565,329,170,77
3503901,2026,968,660,321,149
3503950,2026,10,0,3,1
3504008,2026,1265,666,429,196
3504107,2026,1383,688,530,292
3504206,2026,98,41,37,23
3504305,2026,52,20,16,7
3504404,2026,92,30,28,14
3504503,2026,1014,445,312,152
3504602,2026,262,118,76,31
3504701,2026,39,7,5,4
3504800,2026,61,15,31,13
3504909,2026,59,21,22,8
3505005,2026,17,10,8,5
3505104,2026,57,17,17,8
3505203,2026,331,148,153,61
3505302,2026,322,166,94,57
3505351,2026,6,3,4,2
3505401,2026,85,30,35,9
3505500,2026,1565,738,489,230
3505609,2026,200,95,55,35
3505708,2026,4166,3158,1531,667
3505807,2026,215,76,58,33
3505906,2026,597,343,192,96
3506003,2026,5894,3515,2414,1376
3506102,2026,762,424,181,87
3506201,2026,10,3,4,2
3506300,2026,132,60,44,24
3506359,2026,1175,800,426,221
3506409,2026,38,16,7,4
3506508,2026,1270,652,292,157
3506607,2026,179,74,40,28
3506706,2026,116,39,41,20
3506805,2026,96,36,25,15
3506904,2026,103,47,32,14
3507001,2026,746,469,248,131
3507100,2026,211,100,70,37
3507159,2026,25,9,0,0
3507209,2026,3,1,2,1
3507308,2026,42,21,12,9
3507407,2026,151,47,29,20
3507456,2026,21,7,11,4
3507506,2026,1718,866,495,220
3507605,2026,1673,922,504,288
3507704,2026,27,10,1,1
3507753,2026,17,7,7,7
3507803,2026,216,107,70,41
3507902,2026,213,95,61,40
3508009,2026,244,112,103,43
3508108,2026,151,53,49,26
3508207,2026,59,35,15,10
3508306,2026,32,12,14,4
3508405,2026,358,210,123,53
3508504,2026,1125,796,464,287
3508603,2026,268,149,107,52
3508702,2026,122,65,29,21
3508801,2026,100,38,27,14
3508900,2026,35,13,11,5
3509007,2026,779,515,247,116
3509106,2026,21,8,4,2
3509205,2026,1162,778,395,172
3509254,2026,333,152,118,46
3509304,2026,88,42,27,17
3509403,2026,232,101,64,30
3509452,2026,56,19,21,10
3509502,2026,17968,13414,7197,3578
3509601,2026,704,470,231,92
3509700,2026,634,392,191,104
3509809,2026,34,11,17,11
3509908,2026,160,68,73,36
3509957,2026,50,20,22,11
3510005,2026,244,103,94,47
3510104,2026,19,9,5,4
3510153,2026,79,30,22,11
3510203,2026,352,139,158,63
3510302,2026,181,80,68,30
3510401,2026,487,281,113,55
3510500,2026,2134,1299,878,429
